,SymbolA,SymbolB,pair
3000506,TGM4,TRNP1,TGM4__TRNP1
3000507,TGM4,TTC22,TGM4__TTC22
3000508,TGM4,TUG1,TGM4__TUG1
3000509,TGM4,UBE2QL1,TGM4__UBE2QL1
3000510,TGM4,UCMA,TGM4__UCMA
3000511,TGM4,UGT2A1,TGM4__UGT2A1
3000512,TGM4,UGT2A2,TGM4__UGT2A2
3000513,TGM4,UGT2B17,TGM4__UGT2B17
3000514,TGM4,URAD,TGM4__URAD
3000515,TGM4,UROC1,TGM4__UROC1
3000516,TGM4,USP17L1,TGM4__USP17L1
3000517,TGM4,USP17L5,TGM4__USP17L5
3000518,TGM4,VN1R2,TGM4__VN1R2
3000519,TGM4,VSTM2B,TGM4__VSTM2B
3000520,TGM4,VWA5B1,TGM4__VWA5B1
3000521,XKR5,TGM4,TGM4__XKR5
3000522,TGM4,XKRY,TGM4__XKRY
3000523,TGM4,XPNPEP2,TGM4__XPNPEP2
3000524,ZAN,TGM4,TGM4__ZAN
3000525,ZAR1,TGM4,TGM4__ZAR1
3000526,TGM4,ZC3H11B,TGM4__ZC3H11B
3000527,ZC3H11C,TGM4,TGM4__ZC3H11C
3000528,ZC3H12B,TGM4,TGM4__ZC3H12B
3000529,TGM4,ZDHHC11B,TGM4__ZDHHC11B
3000530,TGM4,ZFP3,TGM4__ZFP3
3000531,TGM4,ZGLP1,TGM4__ZGLP1
3000532,TGM4,ZNF117,TGM4__ZNF117
3000533,TGM4,ZNF208,TGM4__ZNF208
3000534,TGM4,ZNF285,TGM4__ZNF285
3000535,TGM4,ZNF385D,TGM4__ZNF385D
3000536,TGM4,ZNF404,TGM4__ZNF404
3000537,ZNF470,TGM4,TGM4__ZNF470
3000538,TGM4,ZNF487,TGM4__ZNF487
3000539,TGM4,ZNF519,TGM4__ZNF519
3000540,TGM4,ZNF546,TGM4__ZNF546
3000541,ZNF570,TGM4,TGM4__ZNF570
3000542,TGM4,ZNF596,TGM4__ZNF596
3000543,TGM4,ZNF605,TGM4__ZNF605
3000544,TGM4,ZNF606,TGM4__ZNF606
3000545,TGM4,ZNF654,TGM4__ZNF654
3000546,TGM4,ZNF676,TGM4__ZNF676
3000547,TGM4,ZNF705D,TGM4__ZNF705D
3000548,TGM4,ZNF735,TGM4__ZNF735
3000549,TGM4,ZNF736,TGM4__ZNF736
3000550,TGM4,ZNF782,TGM4__ZNF782
3000551,TGM4,ZNF789,TGM4__ZNF789
3000552,ZNF841,TGM4,TGM4__ZNF841
3000553,TGM4,ZNF883,TGM4__ZNF883
3000554,TGM4,ZNF90,TGM4__ZNF90
3000555,TGM4,ZSWIM4,TGM4__ZSWIM4
3000556,TGM6,THAP5,TGM6__THAP5
3000557,THAP9,TGM6,TGM6__THAP9
3000558,THBS2,TGM6,TGM6__THBS2
3000559,TGM6,THEG,TGM6__THEG
3000560,TGM6,THEGL,TGM6__THEGL
3000561,TGM6,THEMIS,TGM6__THEMIS
3000562,THEMIS2,TGM6,TGM6__THEMIS2
3000563,THNSL2,TGM6,TGM6__THNSL2
3000564,THPO,TGM6,TGM6__THPO
3000565,THSD1,TGM6,TGM6__THSD1
3000566,TGM6,TIFAB,TGM6__TIFAB
3000567,TIGD1,TGM6,TGM6__TIGD1
3000568,TIGD3,TGM6,TGM6__TIGD3
3000569,TGM6,TIGD4,TGM6__TIGD4
3000570,TGM6,TIGD7,TGM6__TIGD7
3000571,TGM6,TIMD4,TGM6__TIMD4
3000572,TIMM22,TGM6,TGM6__TIMM22
3000573,TGM6,TIMP4,TGM6__TIMP4
3000574,TINCR,TGM6,TGM6__TINCR
3000575,TKTL1,TGM6,TGM6__TKTL1
3000576,TLCD2,TGM6,TGM6__TLCD2
3000577,TGM6,TLCD3B,TGM6__TLCD3B
3000578,TGM6,TLE6,TGM6__TLE6
3000579,TLL1,TGM6,TGM6__TLL1
3000580,TGM6,TLL2,TGM6__TLL2
3000581,TLNRD1,TGM6,TGM6__TLNRD1
3000582,TLR6,TGM6,TGM6__TLR6
3000583,TLR8,TGM6,TGM6__TLR8
3000584,TM2D1,TGM6,TGM6__TM2D1
3000585,TM4SF1,TGM6,TGM6__TM4SF1
3000586,TGM6,TM6SF1,TGM6__TM6SF1
3000587,TM6SF2,TGM6,TGM6__TM6SF2
3000588,TGM6,TM7SF2,TGM6__TM7SF2
3000589,TM7SF3,TGM6,TGM6__TM7SF3
3000590,TMBIM1,TGM6,TGM6__TMBIM1
3000591,TGM6,TMC2,TGM6__TMC2
3000592,TMC3,TGM6,TGM6__TMC3
3000593,TGM6,TMC5,TGM6__TMC5
3000594,TGM6,TMC8,TGM6__TMC8
3000595,TMCO2,TGM6,TGM6__TMCO2
3000596,TMCO4,TGM6,TGM6__TMCO4
3000597,TGM6,TMCO5A,TGM6__TMCO5A
3000598,TMEFF2,TGM6,TGM6__TMEFF2
3000599,TMEM104,TGM6,TGM6__TMEM104
3000600,TGM6,TMEM114,TGM6__TMEM114
3000601,TMEM116,TGM6,TGM6__TMEM116
3000602,TMEM119,TGM6,TGM6__TMEM119
3000603,TMEM121,TGM6,TGM6__TMEM121
3000604,TGM6,TMEM121B,TGM6__TMEM121B
3000605,TGM6,TMEM123,TGM6__TMEM123
3000606,TMEM127,TGM6,TGM6__TMEM127
3000607,TMEM132B,TGM6,TGM6__TMEM132B
3000608,TGM6,TMEM132D,TGM6__TMEM132D
3000609,TGM6,TMEM132E,TGM6__TMEM132E
3000610,TMEM134,TGM6,TGM6__TMEM134
3000611,TMEM138,TGM6,TGM6__TMEM138
3000612,TGM6,TMEM141,TGM6__TMEM141
3000613,TMEM144,TGM6,TGM6__TMEM144
3000614,TGM6,TMEM151A,TGM6__TMEM151A
3000615,TGM6,TMEM158,TGM6__TMEM158
3000616,TMEM167A,TGM6,TGM6__TMEM167A
3000617,TMEM170A,TGM6,TGM6__TMEM170A
3000618,TGM6,TMEM175,TGM6__TMEM175
3000619,TGM6,TMEM178A,TGM6__TMEM178A
3000620,TGM6,TMEM178B,TGM6__TMEM178B
3000621,TMEM18,TGM6,TGM6__TMEM18
3000622,TMEM184C,TGM6,TGM6__TMEM184C
3000623,TGM6,TMEM185B,TGM6__TMEM185B
3000624,TMEM187,TGM6,TGM6__TMEM187
3000625,TGM6,TMEM190,TGM6__TMEM190
3000626,TMEM196,TGM6,TGM6__TMEM196
3000627,TMEM198,TGM6,TGM6__TMEM198
3000628,TMEM200B,TGM6,TGM6__TMEM200B
3000629,TMEM200C,TGM6,TGM6__TMEM200C
3000630,TGM6,TMEM204,TGM6__TMEM204
3000631,TMEM207,TGM6,TGM6__TMEM207
3000632,TGM6,TMEM220,TGM6__TMEM220
3000633,TGM6,TMEM225,TGM6__TMEM225
3000634,TMEM225B,TGM6,TGM6__TMEM225B
3000635,TMEM236,TGM6,TGM6__TMEM236
3000636,TGM6,TMEM241,TGM6__TMEM241
3000637,TGM6,TMEM252,TGM6__TMEM252
3000638,TMEM255A,TGM6,TGM6__TMEM255A
3000639,TGM6,TMEM255B,TGM6__TMEM255B
3000640,TGM6,TMEM260,TGM6__TMEM260
3000641,TMEM262,TGM6,TGM6__TMEM262
3000642,TMEM267,TGM6,TGM6__TMEM267
3000643,TMEM270,TGM6,TGM6__TMEM270
3000644,TGM6,TMEM35B,TGM6__TMEM35B
3000645,TGM6,TMEM38A,TGM6__TMEM38A
3000646,TGM6,TMEM40,TGM6__TMEM40
3000647,TMEM47,TGM6,TGM6__TMEM47
3000648,TGM6,TMEM52,TGM6__TMEM52
3000649,TMEM53,TGM6,TGM6__TMEM53
3000650,TMEM61,TGM6,TGM6__TMEM61
3000651,TMEM71,TGM6,TGM6__TMEM71
3000652,TGM6,TMEM74B,TGM6__TMEM74B
3000653,TGM6,TMEM82,TGM6__TMEM82
3000654,TMEM87B,TGM6,TGM6__TMEM87B
3000655,TGM6,TMEM89,TGM6__TMEM89
3000656,TMEM8B,TGM6,TGM6__TMEM8B
3000657,TMEM91,TGM6,TGM6__TMEM91
3000658,TGM6,TMIGD1,TGM6__TMIGD1
3000659,TGM6,TMIGD2,TGM6__TMIGD2
3000660,TMPRSS11D,TGM6,TGM6__TMPRSS11D
3000661,TMPRSS11F,TGM6,TGM6__TMPRSS11F
3000662,TGM6,TMPRSS7,TGM6__TMPRSS7
3000663,TGM6,TMSB15A,TGM6__TMSB15A
3000664,TGM6,TNFAIP8L2,TGM6__TNFAIP8L2
3000665,TGM6,TNFAIP8L3,TGM6__TNFAIP8L3
3000666,TNFRSF12A,TGM6,TGM6__TNFRSF12A
3000667,TNFRSF18,TGM6,TGM6__TNFRSF18
3000668,TGM6,TNFRSF21,TGM6__TNFRSF21
3000669,TGM6,TNFRSF4,TGM6__TNFRSF4
3000670,TNFSF12-TNFSF13,TGM6,TGM6__TNFSF12-TNFSF13
3000671,TNFSF15,TGM6,TGM6__TNFSF15
3000672,TNFSF4,TGM6,TGM6__TNFSF4
3000673,TNN,TGM6,TGM6__TNN
3000674,TNP1,TGM6,TGM6__TNP1
3000675,TGM6,TNR,TGM6__TNR
3000676,TNXB,TGM6,TGM6__TNXB
3000677,TOGARAM1,TGM6,TGM6__TOGARAM1
3000678,TOMM20L,TGM6,TGM6__TOMM20L
3000679,TOMM40L,TGM6,TGM6__TOMM40L
3000680,TOMM7,TGM6,TGM6__TOMM7
3000681,TOP6BL,TGM6,TGM6__TOP6BL
3000682,TOX,TGM6,TGM6__TOX
3000683,TGM6,TP53AIP1,TGM6__TP53AIP1
3000684,TGM6,TP53I13,TGM6__TP53I13
3000685,TGM6,TP53I3,TGM6__TP53I3
3000686,TGM6,TP53INP2,TGM6__TP53INP2
3000687,TP53TG5,TGM6,TGM6__TP53TG5
3000688,TGM6,TPBG,TGM6__TPBG
3000689,TPBGL,TGM6,TGM6__TPBGL
3000690,TPH1,TGM6,TGM6__TPH1
3000691,TGM6,TPPP2,TGM6__TPPP2
3000692,TGM6,TPPP3,TGM6__TPPP3
3000693,TGM6,TPSG1,TGM6__TPSG1
3000694,TRABD2A,TGM6,TGM6__TRABD2A
3000695,TRABD2B,TGM6,TGM6__TRABD2B
3000696,TGM6,TRAPPC3L,TGM6__TRAPPC3L
3000697,TGM6,TRAV24,TGM6__TRAV24
3000698,TGM6,TRAV7,TGM6__TRAV7
3000699,TGM6,TRBC1,TGM6__TRBC1
3000700,TRBC2,TGM6,TGM6__TRBC2
3000701,TGM6,TRBV12-3,TGM6__TRBV12-3
3000702,TRBV2,TGM6,TGM6__TRBV2
3000703,TGM6,TRBV25-1,TGM6__TRBV25-1
3000704,TREH,TGM6,TGM6__TREH
3000705,TREM2,TGM6,TGM6__TREM2
3000706,TREML1,TGM6,TGM6__TREML1
3000707,TRH,TGM6,TGM6__TRH
3000708,TRIL,TGM6,TGM6__TRIL
3000709,TRIM40,TGM6,TGM6__TRIM40
3000710,TRIM43B,TGM6,TGM6__TRIM43B
3000711,TGM6,TRIM48,TGM6__TRIM48
3000712,TRIM49,TGM6,TGM6__TRIM49
3000713,TRIM49C,TGM6,TGM6__TRIM49C
3000714,TRIM51,TGM6,TGM6__TRIM51
3000715,TRIM6-TRIM34,TGM6,TGM6__TRIM6-TRIM34
3000716,TRIM60,TGM6,TGM6__TRIM60
3000717,TGM6,TRIM61,TGM6__TRIM61
3000718,TRIM75,TGM6,TGM6__TRIM75
3000719,TGM6,TRIM77,TGM6__TRIM77
3000720,TGM6,TRIML1,TGM6__TRIML1
3000721,TRMT9B,TGM6,TGM6__TRMT9B
3000722,TGM6,TRNP1,TGM6__TRNP1
3000723,TRPA1,TGM6,TGM6__TRPA1
3000724,TRPM2,TGM6,TGM6__TRPM2
3000725,TRPM5,TGM6,TGM6__TRPM5
3000726,TGM6,TRPM8,TGM6__TRPM8
3000727,TRPT1,TGM6,TGM6__TRPT1
3000728,TRPV1,TGM6,TGM6__TRPV1
3000729,TRPV3,TGM6,TGM6__TRPV3
3000730,TSACC,TGM6,TGM6__TSACC
3000731,TGM6,TSBP1,TGM6__TSBP1
3000732,TSGA13,TGM6,TGM6__TSGA13
3000733,TSHZ1,TGM6,TGM6__TSHZ1
3000734,TGM6,TSKU,TGM6__TSKU
3000735,TGM6,TSLP,TGM6__TSLP
3000736,TGM6,TSPAN11,TGM6__TSPAN11
3000737,TGM6,TSPAN13,TGM6__TSPAN13
3000738,TSPAN14,TGM6,TGM6__TSPAN14
3000739,TSPAN32,TGM6,TGM6__TSPAN32
3000740,TSPAN9,TGM6,TGM6__TSPAN9
3000741,TGM6,TSPEAR,TGM6__TSPEAR
3000742,TSPY8,TGM6,TGM6__TSPY8
3000743,TGM6,TTC12,TGM6__TTC12
3000744,TTC21A,TGM6,TGM6__TTC21A
3000745,TTC22,TGM6,TGM6__TTC22
3000746,TGM6,TTC36,TGM6__TTC36
3000747,TGM6,TTC39C,TGM6__TTC39C
3000748,TTC9B,TGM6,TGM6__TTC9B
3000749,TTLL3,TGM6,TGM6__TTLL3
3000750,TTPAL,TGM6,TGM6__TTPAL
3000751,TTYH2,TGM6,TGM6__TTYH2
3000752,TGM6,TUG1,TGM6__TUG1
3000753,TGM6,TULP4,TGM6__TULP4
3000754,TGM6,TVP23A,TGM6__TVP23A
3000755,TXNDC2,TGM6,TGM6__TXNDC2
3000756,TGM6,TYR,TGM6__TYR
3000757,UBALD1,TGM6,TGM6__UBALD1
3000758,UBALD2,TGM6,TGM6__UBALD2
3000759,UBQLN3,TGM6,TGM6__UBQLN3
3000760,UBQLNL,TGM6,TGM6__UBQLNL
3000761,TGM6,UCMA,TGM6__UCMA
3000762,UCN,TGM6,TGM6__UCN
3000763,TGM6,UCN2,TGM6__UCN2
3000764,UCP1,TGM6,TGM6__UCP1
3000765,TGM6,UGT1A3,TGM6__UGT1A3
3000766,UGT1A4,TGM6,TGM6__UGT1A4
3000767,TGM6,UGT1A6,TGM6__UGT1A6
3000768,TGM6,UGT1A8,TGM6__UGT1A8
3000769,TGM6,UGT2A1,TGM6__UGT2A1
3000770,TGM6,UGT2A2,TGM6__UGT2A2
3000771,UGT2B17,TGM6,TGM6__UGT2B17
3000772,TGM6,UGT2B28,TGM6__UGT2B28
3000773,TGM6,UGT3A1,TGM6__UGT3A1
3000774,ULBP1,TGM6,TGM6__ULBP1
3000775,TGM6,UMAD1,TGM6__UMAD1
3000776,UMOD,TGM6,TGM6__UMOD
3000777,UMODL1,TGM6,TGM6__UMODL1
3000778,UNC13A,TGM6,TGM6__UNC13A
3000779,UNC13D,TGM6,TGM6__UNC13D
3000780,TGM6,UNC5A,TGM6__UNC5A
3000781,UNC79,TGM6,TGM6__UNC79
3000782,UNC80,TGM6,TGM6__UNC80
3000783,UPK3A,TGM6,TGM6__UPK3A
3000784,TGM6,UPK3B,TGM6__UPK3B
3000785,TGM6,UPP2,TGM6__UPP2
3000786,TGM6,UQCC4,TGM6__UQCC4
3000787,TGM6,UQCRHL,TGM6__UQCRHL
3000788,TGM6,URAD,TGM6__URAD
3000789,TGM6,UROC1,TGM6__UROC1
3000790,UROS,TGM6,TGM6__UROS
3000791,TGM6,USP17L1,TGM6__USP17L1
3000792,TGM6,USP17L12,TGM6__USP17L12
3000793,TGM6,USP17L18,TGM6__USP17L18
3000794,TGM6,USP17L23,TGM6__USP17L23
3000795,TGM6,USP17L3,TGM6__USP17L3
3000796,TGM6,USP17L5,TGM6__USP17L5
3000797,USP17L7,TGM6,TGM6__USP17L7
3000798,TGM6,UTF1,TGM6__UTF1
3000799,TGM6,UTS2B,TGM6__UTS2B
3000800,TGM6,UTS2R,TGM6__UTS2R
3000801,TGM6,VAT1L,TGM6__VAT1L
3000802,VAX1,TGM6,TGM6__VAX1
3000803,TGM6,VAX2,TGM6__VAX2
3000804,TGM6,VCX,TGM6__VCX
3000805,VCX2,TGM6,TGM6__VCX2
3000806,TGM6,VEGFC,TGM6__VEGFC
3000807,VEPH1,TGM6,TGM6__VEPH1
3000808,VGLL2,TGM6,TGM6__VGLL2
3000809,VHLL,TGM6,TGM6__VHLL
3000810,VILL,TGM6,TGM6__VILL
3000811,TGM6,VIT,TGM6__VIT
3000812,VN1R1,TGM6,TGM6__VN1R1
3000813,VNN1,TGM6,TGM6__VNN1
3000814,TGM6,VPREB1,TGM6__VPREB1
3000815,TGM6,VSTM2A,TGM6__VSTM2A
3000816,TGM6,VSTM2B,TGM6__VSTM2B
3000817,TGM6,VSTM2L,TGM6__VSTM2L
3000818,VSTM4,TGM6,TGM6__VSTM4
3000819,VWA3B,TGM6,TGM6__VWA3B
3000820,TGM6,VWA5B1,TGM6__VWA5B1
3000821,VWA7,TGM6,TGM6__VWA7
3000822,TGM6,VXN,TGM6__VXN
3000823,WBP2NL,TGM6,TGM6__WBP2NL
3000824,WDR31,TGM6,TGM6__WDR31
3000825,WDR49,TGM6,TGM6__WDR49
3000826,TGM6,WDR72,TGM6__WDR72
3000827,TGM6,WDR83OS,TGM6__WDR83OS
3000828,TGM6,WDR88,TGM6__WDR88
3000829,WFDC1,TGM6,TGM6__WFDC1
3000830,TGM6,WFDC10B,TGM6__WFDC10B
3000831,TGM6,WFDC12,TGM6__WFDC12
3000832,WFDC13,TGM6,TGM6__WFDC13
3000833,WFDC3,TGM6,TGM6__WFDC3
3000834,TGM6,WFDC5,TGM6__WFDC5
3000835,WFDC6,TGM6,TGM6__WFDC6
3000836,TGM6,WFDC8,TGM6__WFDC8
3000837,WFDC9,TGM6,TGM6__WFDC9
3000838,TGM6,WFIKKN2,TGM6__WFIKKN2
3000839,WNT1,TGM6,TGM6__WNT1
3000840,WNT2B,TGM6,TGM6__WNT2B
3000841,WNT5B,TGM6,TGM6__WNT5B
3000842,WNT6,TGM6,TGM6__WNT6
3000843,WNT7B,TGM6,TGM6__WNT7B
3000844,WNT8A,TGM6,TGM6__WNT8A
3000845,WNT8B,TGM6,TGM6__WNT8B
3000846,TGM6,WNT9A,TGM6__WNT9A
3000847,XCR1,TGM6,TGM6__XCR1
3000848,XIRP1,TGM6,TGM6__XIRP1
3000849,XK,TGM6,TGM6__XK
3000850,XKR3,TGM6,TGM6__XKR3
3000851,TGM6,XKR4,TGM6__XKR4
3000852,XKR5,TGM6,TGM6__XKR5
3000853,TGM6,XKR6,TGM6__XKR6
3000854,XKRX,TGM6,TGM6__XKRX
3000855,TGM6,XKRY,TGM6__XKRY
3000856,TGM6,XPNPEP2,TGM6__XPNPEP2
3000857,XRRA1,TGM6,TGM6__XRRA1
3000858,YDJC,TGM6,TGM6__YDJC
3000859,YJEFN3,TGM6,TGM6__YJEFN3
3000860,YPEL1,TGM6,TGM6__YPEL1
3000861,TGM6,YPEL2,TGM6__YPEL2
3000862,ZAN,TGM6,TGM6__ZAN
3000863,TGM6,ZAR1,TGM6__ZAR1
3000864,TGM6,ZBED10P,TGM6__ZBED10P
3000865,ZBED2,TGM6,TGM6__ZBED2
3000866,ZBTB12,TGM6,TGM6__ZBTB12
3000867,TGM6,ZBTB37,TGM6__ZBTB37
3000868,ZBTB45,TGM6,TGM6__ZBTB45
3000869,ZBTB8B,TGM6,TGM6__ZBTB8B
3000870,ZC3H11B,TGM6,TGM6__ZC3H11B
3000871,TGM6,ZC3H11C,TGM6__ZC3H11C
3000872,TGM6,ZC3H12B,TGM6__ZC3H12B
3000873,ZC3H12D,TGM6,TGM6__ZC3H12D
3000874,ZCCHC18,TGM6,TGM6__ZCCHC18
3000875,ZCWPW2,TGM6,TGM6__ZCWPW2
3000876,ZDHHC11B,TGM6,TGM6__ZDHHC11B
3000877,ZDHHC16,TGM6,TGM6__ZDHHC16
3000878,ZDHHC3,TGM6,TGM6__ZDHHC3
3000879,TGM6,ZDHHC4,TGM6__ZDHHC4
3000880,ZFAND3,TGM6,TGM6__ZFAND3
3000881,ZFHX2,TGM6,TGM6__ZFHX2
3000882,ZFP3,TGM6,TGM6__ZFP3
3000883,ZFP37,TGM6,TGM6__ZFP37
3000884,ZFR2,TGM6,TGM6__ZFR2
3000885,TGM6,ZFYVE28,TGM6__ZFYVE28
3000886,ZG16,TGM6,TGM6__ZG16
3000887,ZGLP1,TGM6,TGM6__ZGLP1
3000888,ZGRF1,TGM6,TGM6__ZGRF1
3000889,TGM6,ZIC4,TGM6__ZIC4
3000890,TGM6,ZIC5,TGM6__ZIC5
3000891,TGM6,ZIK1,TGM6__ZIK1
3000892,ZIM3,TGM6,TGM6__ZIM3
3000893,ZKSCAN5,TGM6,TGM6__ZKSCAN5
3000894,TGM6,ZNF117,TGM6__ZNF117
3000895,TGM6,ZNF135,TGM6__ZNF135
3000896,TGM6,ZNF157,TGM6__ZNF157
3000897,TGM6,ZNF175,TGM6__ZNF175
3000898,ZNF18,TGM6,TGM6__ZNF18
3000899,TGM6,ZNF208,TGM6__ZNF208
3000900,ZNF221,TGM6,TGM6__ZNF221
3000901,TGM6,ZNF236,TGM6__ZNF236
3000902,TGM6,ZNF257,TGM6__ZNF257
3000903,ZNF283,TGM6,TGM6__ZNF283
3000904,ZNF285,TGM6,TGM6__ZNF285
3000905,ZNF32,TGM6,TGM6__ZNF32
3000906,TGM6,ZNF322,TGM6__ZNF322
3000907,TGM6,ZNF345,TGM6__ZNF345
3000908,ZNF385B,TGM6,TGM6__ZNF385B
3000909,TGM6,ZNF385D,TGM6__ZNF385D
3000910,ZNF404,TGM6,TGM6__ZNF404
3000911,TGM6,ZNF415,TGM6__ZNF415
3000912,TGM6,ZNF425,TGM6__ZNF425
3000913,ZNF43,TGM6,TGM6__ZNF43
3000914,ZNF433,TGM6,TGM6__ZNF433
3000915,ZNF441,TGM6,TGM6__ZNF441
3000916,ZNF449,TGM6,TGM6__ZNF449
3000917,TGM6,ZNF470,TGM6__ZNF470
3000918,TGM6,ZNF486,TGM6__ZNF486
3000919,ZNF487,TGM6,TGM6__ZNF487
3000920,TGM6,ZNF513,TGM6__ZNF513
3000921,TGM6,ZNF518B,TGM6__ZNF518B
3000922,TGM6,ZNF519,TGM6__ZNF519
3000923,ZNF525,TGM6,TGM6__ZNF525
3000924,TGM6,ZNF534,TGM6__ZNF534
3000925,TGM6,ZNF541,TGM6__ZNF541
3000926,TGM6,ZNF548,TGM6__ZNF548
3000927,TGM6,ZNF551,TGM6__ZNF551
3000928,ZNF559,TGM6,TGM6__ZNF559
3000929,ZNF570,TGM6,TGM6__ZNF570
3000930,ZNF571,TGM6,TGM6__ZNF571
3000931,ZNF577,TGM6,TGM6__ZNF577
3000932,TGM6,ZNF586,TGM6__ZNF586
3000933,TGM6,ZNF594,TGM6__ZNF594
3000934,TGM6,ZNF596,TGM6__ZNF596
3000935,TGM6,ZNF605,TGM6__ZNF605
3000936,TGM6,ZNF606,TGM6__ZNF606
3000937,ZNF610,TGM6,TGM6__ZNF610
3000938,ZNF623,TGM6,TGM6__ZNF623
3000939,ZNF626,TGM6,TGM6__ZNF626
3000940,TGM6,ZNF654,TGM6__ZNF654
3000941,ZNF662,TGM6,TGM6__ZNF662
3000942,TGM6,ZNF671,TGM6__ZNF671
3000943,ZNF676,TGM6,TGM6__ZNF676
3000944,ZNF678,TGM6,TGM6__ZNF678
3000945,TGM6,ZNF683,TGM6__ZNF683
3000946,TGM6,ZNF69,TGM6__ZNF69
3000947,TGM6,ZNF705D,TGM6__ZNF705D
3000948,ZNF705G,TGM6,TGM6__ZNF705G
3000949,ZNF709,TGM6,TGM6__ZNF709
3000950,ZNF710,TGM6,TGM6__ZNF710
3000951,ZNF716,TGM6,TGM6__ZNF716
3000952,TGM6,ZNF727,TGM6__ZNF727
3000953,TGM6,ZNF736,TGM6__ZNF736
3000954,ZNF737,TGM6,TGM6__ZNF737
3000955,ZNF749,TGM6,TGM6__ZNF749
3000956,TGM6,ZNF75A,TGM6__ZNF75A
3000957,ZNF763,TGM6,TGM6__ZNF763
3000958,TGM6,ZNF778,TGM6__ZNF778
3000959,TGM6,ZNF781,TGM6__ZNF781
3000960,ZNF782,TGM6,TGM6__ZNF782
3000961,TGM6,ZNF789,TGM6__ZNF789
3000962,ZNF79,TGM6,TGM6__ZNF79
3000963,ZNF80,TGM6,TGM6__ZNF80
3000964,TGM6,ZNF804A,TGM6__ZNF804A
3000965,ZNF804B,TGM6,TGM6__ZNF804B
3000966,ZNF821,TGM6,TGM6__ZNF821
3000967,TGM6,ZNF83,TGM6__ZNF83
3000968,ZNF831,TGM6,TGM6__ZNF831
3000969,ZNF836,TGM6,TGM6__ZNF836
3000970,TGM6,ZNF841,TGM6__ZNF841
3000971,TGM6,ZNF843,TGM6__ZNF843
3000972,TGM6,ZNF844,TGM6__ZNF844
3000973,ZNF846,TGM6,TGM6__ZNF846
3000974,TGM6,ZNF860,TGM6__ZNF860
3000975,TGM6,ZNF878,TGM6__ZNF878
3000976,TGM6,ZNF883,TGM6__ZNF883
3000977,TGM6,ZNF891,TGM6__ZNF891
3000978,TGM6,ZNF90,TGM6__ZNF90
3000979,ZNF99,TGM6,TGM6__ZNF99
3000980,ZNG1C,TGM6,TGM6__ZNG1C
3000981,ZP1,TGM6,TGM6__ZP1
3000982,ZP4,TGM6,TGM6__ZP4
3000983,TGM6,ZPBP,TGM6__ZPBP
3000984,TGM6,ZSCAN10,TGM6__ZSCAN10
3000985,ZSCAN30,TGM6,TGM6__ZSCAN30
3000986,ZSCAN4,TGM6,TGM6__ZSCAN4
3000987,TGM6,ZSCAN5B,TGM6__ZSCAN5B
3000988,TGM6,ZSWIM1,TGM6__ZSWIM1
3000989,TGM6,ZSWIM2,TGM6__ZSWIM2
3000990,TGM6,ZSWIM4,TGM6__ZSWIM4
3000991,ZSWIM5,TGM6,TGM6__ZSWIM5
3000992,TG,TGM6,TG__TGM6
3000993,THPO,TG,TG__THPO
3000994,TLCD3B,TG,TG__TLCD3B
3000995,TG,TMC3,TG__TMC3
3000996,TMEM114,TG,TG__TMEM114
3000997,TMEM121B,TG,TG__TMEM121B
3000998,TMEM132E,TG,TG__TMEM132E
3000999,TMEM138,TG,TG__TMEM138
3001000,TMEM151A,TG,TG__TMEM151A
3001001,TMEM185B,TG,TG__TMEM185B
3001002,TMEM225B,TG,TG__TMEM225B
3001003,TMEM74B,TG,TG__TMEM74B
3001004,TMEM89,TG,TG__TMEM89
3001005,TMEM91,TG,TG__TMEM91
3001006,TMPRSS11F,TG,TG__TMPRSS11F
3001007,TMSB15A,TG,TG__TMSB15A
3001008,TNFAIP8L3,TG,TG__TNFAIP8L3
3001009,TNFSF4,TG,TG__TNFSF4
3001010,TOP6BL,TG,TG__TOP6BL
3001011,TG,TPBGL,TG__TPBGL
3001012,TPSG1,TG,TG__TPSG1
3001013,TRAV24,TG,TG__TRAV24
3001014,TRBC2,TG,TG__TRBC2
3001015,TG,TRBV12-3,TG__TRBV12-3
3001016,TRBV25-1,TG,TG__TRBV25-1
3001017,TREH,TG,TG__TREH
3001018,TG,TRIM61,TG__TRIM61
3001019,TRIM77,TG,TG__TRIM77
3001020,TRNP1,TG,TG__TRNP1
3001021,TSKU,TG,TG__TSKU
3001022,TSPEAR,TG,TG__TSPEAR
3001023,TSPY8,TG,TG__TSPY8
3001024,TTC9,TG,TG__TTC9
3001025,TUG1,TG,TG__TUG1
3001026,UCMA,TG,TG__UCMA
3001027,UCN2,TG,TG__UCN2
3001028,UCP1,TG,TG__UCP1
3001029,UGT2A1,TG,TG__UGT2A1
3001030,TG,UGT2A2,TG__UGT2A2
3001031,UGT2B17,TG,TG__UGT2B17
3001032,UROC1,TG,TG__UROC1
3001033,TG,VN1R2,TG__VN1R2
3001034,WFDC13,TG,TG__WFDC13
3001035,ZAR1,TG,TG__ZAR1
3001036,TG,ZC3H11B,TG__ZC3H11B
3001037,ZC3H11C,TG,TG__ZC3H11C
3001038,ZDHHC11B,TG,TG__ZDHHC11B
3001039,ZFP3,TG,TG__ZFP3
3001040,TG,ZGLP1,TG__ZGLP1
